Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Reporting Type,Units,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,4,Afghanistan,G,INDEX,0.61198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,12,Algeria,G,INDEX,0.72917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,20,Andorra,G,INDEX,0.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,51,Armenia,G,INDEX,0.70052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,48,Bahrain,G,INDEX,0.94271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,50,Bangladesh,G,INDEX,0.66146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,56,Belgium,G,INDEX,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,76,Brazil,G,INDEX,0.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,100,Bulgaria,G,INDEX,0.64773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,854,Burkina Faso,G,INDEX,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,108,Burundi,G,INDEX,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,116,Cambodia,G,INDEX,0.82292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,124,Canada,G,INDEX,0.78125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,170,Colombia,G,INDEX,0.88021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,192,Cuba,G,INDEX,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,196,Cyprus,G,INDEX,0.92448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,203,Czechia,G,INDEX,0.47135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,180,Democratic Republic of the Congo,G,INDEX,0.79688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,208,Denmark,G,INDEX,0.68229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,214,Dominican Republic,G,INDEX,0.8724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,233,Estonia,G,INDEX,0.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,246,Finland,G,INDEX,0.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,250,France,G,INDEX,0.99063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,276,Germany,G,INDEX,0.90365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,348,Hungary,G,INDEX,0.86198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,356,India,G,INDEX,0.91667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,372,Ireland,G,INDEX,0.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,380,Italy,G,INDEX,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,400,Jordan,G,INDEX,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,414,Kuwait,G,INDEX,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,417,Kyrgyzstan,G,INDEX,0.73958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,428,Latvia,G,INDEX,0.86458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,440,Lithuania,G,INDEX,0.85417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,454,Malawi,G,INDEX,0.90625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,458,Malaysia,G,INDEX,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,470,Malta,G,INDEX,0.72396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,480,Mauritius,G,INDEX,0.80208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,492,Monaco,G,INDEX,0.79167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,496,Mongolia,G,INDEX,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,104,Myanmar,G,INDEX,0.90104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,558,Nicaragua,G,INDEX,0.79167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,512,Oman,G,INDEX,0.72917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,604,Peru,G,INDEX,0.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,616,Poland,G,INDEX,0.80208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,410,Republic of Korea,G,INDEX,0.88281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,498,Republic of Moldova,G,INDEX,0.76302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,642,Romania,G,INDEX,0.97135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,659,Saint Kitts and Nevis,G,INDEX,0.61198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,674,San Marino,G,INDEX,0.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,703,Slovakia,G,INDEX,0.64323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,705,Slovenia,G,INDEX,0.93438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,724,Spain,G,INDEX,0.90885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,275,State of Palestine,G,INDEX,0.70833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,752,Sweden,G,INDEX,0.80469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,760,Syrian Arab Republic,G,INDEX,0.77083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,792,TŸrkiye,G,INDEX,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,795,Turkmenistan,G,INDEX,0.82813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,804,Ukraine,G,INDEX,0.91667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.8,12.8.1,SE_GCEDESD_CUR,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,826,United Kingdom of Great Britain and Northern Ireland,G,INDEX,0.58594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,